Prompt: Summarize the business model from the following text. Answer with a continuous text and with fivehundredtwelve tokens at max. Set your focus on sources of revenue , the intended customer base , products , distribution channels  and details of financing . Use only information from the following text

ITEM 1.            BUSINESS

We are a diversified television broadcasting company with national reach and a strong focus on using our spectrum to bring together content providers, advertisers, and consumers on various platforms.  The content, distributed through our broadcast platform, consists of programming provided by third-party networks and syndicators, local news, our own networks, and other original programming produced by us.  We also distribute our original programming, and owned and operated networks, on other third-party platforms.  Additionally, we own digital and internet media products that are complementary to our extensive portfolio of television station related digital properties. We focus on offering marketing solutions to advertisers through our television and digital platforms and digital agency services. Outside of our media related businesses, we operate technical services companies focused on supply and maintenance of broadcast transmission systems as well as research and development for the advancement of broadcast technology, and we manage other non-media related investments.
Broadcast
As of December 31, 2018, our broadcast distribution platform consists primarily of our broadcast television stations. We own, provide programming and operating services pursuant to local marketing agreements (LMAs), or provide sales services and other non-programming operating services pursuant to other outsourcing agreements (such as JSAs and SSAs) to 191 stations in 89 markets. These stations broadcast 605 channels, including 240 channels affiliated with primary networks or program service providers comprised of:  FOX (59), ABC (41), CBS (30), NBC (24), CW (47), and MyNetworkTV (MNT) (39).  The other 365 channels broadcast programming from Antenna TV, Azteca, Bounce Network, CHARGE!, Comet, Estrella TV, Get TV, Grit, Me TV, Movies!, Nevada Sports Network, Stadium, TBD, Telemundo, This TV, Unimas, Univision, Weather, and two channels broadcasting independent programming.  For the purpose of this report, these 191 stations and 605 channels are referred to as “our” stations and channels.  Refer to our Television Markets and Stations table later in this Item 1. for more information.
Our broadcast segment provides free over-the-air programming to television viewing audiences in the communities we serve through our local television stations.  The programming that we provide on our primary channels consists of network provided programs, locally-produced news, local sporting events, programming from program service arrangements, syndicated entertainment programs, and internally originated programming provided by our other media subsidiaries. We provide live, local sporting events on many of our stations by acquiring the local television broadcast rights for these events.  
We are the nation's largest producer of local news. We produce approximately 2,500 hours of news per week at 126 stations in 85 markets. During 2018, our stations were awarded with 338 journalism awards, including two National Edward R. Murrow awards.

Our broadcast segment derives revenue primarily from the sale of advertising inventory on our television stations and fees received from MVPDs for the right to distribute our channels on their distribution platforms.  We also earn revenues by providing digital content to non-linear devices via websites, mobile, and social media advertisements. Our objective is to meet the needs of our advertising customers by delivering significant audiences in key demographics.  Our strategy is to achieve this objective by providing quality local news programming, popular network, syndicated and live sports programs, and other original content to our viewing audience.  We attract most of our national television advertisers through national marketing representation firms which have offices in New York City, Los Angeles, Chicago, and Atlanta.  Our local television advertisers are attracted through the use of a local sales force at each of our television stations, which is comprised of approximately 700 marketing consultants and 100 local sales managers company-wide.
Our operating results are subject to cyclical fluctuations from political advertising.  Political spending has been significantly higher in the even-number years due to the cyclicality of political elections.  In addition, every four years, political spending is typically elevated further due to the advertising related to the presidential election.  Because of the political election cyclicality, there has been a significant difference in our operating results when comparing even-numbered years’ performance to the odd numbered years’ performance.  Additionally, our operating results are impacted by the number and importance of individual political races and issues discussed on a national level as well as those within the local communities we serve.  We believe political advertising will continue to be a strong advertising category in our industry. Political advertising levels may increase further as political-activism, around social, political, economic and environmental causes, continues to draw attention and Political Action Committees (PACs), including so-called Super PACs, continue to increase spending.
Owned Networks and Content
We own and operate various networks carried on distribution platforms owned by us or others including: Comet, our science fiction multicast network; CHARGE!, our adventure and action-based emerging network, which launched in February 2017; and TBD, the first multiscreen TV network in the U.S. market to bring premium internet-first content to TV homes across America, which launched in February 2017. 
We also own and operate Tennis Channel, a cable network which includes coverage of many of tennis' top tournaments and original professional sport and tennis lifestyle shows, and Tennis Magazine, the sport’s largest print publication, and Tennis.com (collectively, Tennis), the most visited online tennis platform in the world.
In February 2019, we announced a joint venture with the Chicago Cubs (Cubs) that will own and operate Marquee Sports Network, a regional sports network based in Chicago, Illinois. Marquee will be the Chicago-region’s exclusive network for fans to view live Cubs games beginning with the 2020 Major League Baseball season and will also feature exclusive Cubs content and other local sports programming. 
Our internally developed content, in addition to our local news, includes Ring of Honor (ROH), our professional wrestling promotion, and Full Measure with Sharyl Attkisson (Full Measure), our national Sunday morning investigative and political analysis program.
Also, we have an investment in Stadium, a network that brings together professional sports highlights and college games. 
Digital and Internet
 We earn revenues from Compulse Integrated Marketing (Compulse), a full service digital agency which uses our digital expertise to help businesses run social media, search, advertising, email marketing, web design, mobile marketing and creative services, and audience extension, and navigate and compete in a world of constant innovation and changes in consumer behavior. In August 2018, Compulse expanded its business with the launch of CompulseOTT, a new over-the-top advertising platform exclusively focused on OTT advertising.
DataSphere Technologies, acquired in June 2017, provides marketing services to small businesses across the country and works in partnership with multiple media companies, including Sinclair. 
 Our digital and internet content includes Circa, a national digital news operation offering video-rich news and entertainment tailored for mobile devices and aimed at the younger demographic; NewsON, a free, ad-supported app that provides instant access to live or on-demand local news broadcasts; and STIRR, a new national OTT streaming service which offers live and on-demand content spanning entertainment, sports, and news which launched in January 2019.
Sinclair Digital Ventures focuses on investment in emerging digital technologies, ad tech, and digital content companies that support, compliment, or expand the Company's businesses. 
Technical Services
We own subsidiaries which are dedicated to providing technical services to the broadcast industry, including: Acrodyne Technical Services, a provider of service and support for broadcast transmitters throughout the world; Dielectric, a designer and manufacturer of broadcast systems including all components from transmitter output to antenna; ONE Media, a technology innovator at the forefront of developing industry standards and related technologies for ATSC 3.0, a next generation (NextGen) broadcast standard encompassing a flexible and enhanced vision for broadcasting; and ONE Media 3.0, a wholly-owned subsidiary whose purpose is to develop business opportunities, products, and services associated with the NextGen broadcast transmission standard and TV platform. 
Non-media Investments
We own various non-media related investments across multiple asset classes including private equity, mezzanine financing, and real estate investments. Some of the largest investments include: Triangle Sign and Service (Triangle), a sign designer and fabricator; Jefferson Park, a mixed-use land development project in Frederick, MD; investments in sustainability initiatives; and a portfolio of apartment complexes.
Corporate Information
We are a Maryland corporation formed in 1986.  Our principal offices are located at 10706 Beaver Dam Road, Hunt Valley, Maryland 21030.  Our telephone number is (410) 568-1500 and our website address is www.sbgi.net.  The information contained on, or accessible through, our website is not part of this annual report on Form 10-K and is not incorporated herein by reference.
Television Markets and Stations

As of December 31, 2018, we own and operate or provide programming and/or sales and other shared services to television stations in the following 89 markets:
 
Market | Market Rank (a) | Number of Channels | Stations | NetworkAffiliation (b)
Corpus Christi, TX | 128 | 3 | KSCC, KTOV-LP, KXPX-LP | FOX, MNT 
Amarillo, TX | 131 | 8 | KVII, KVIH | ABC, CW Plus 
Chico-Redding, CA | 132 | 13 | KRCR, KCVU(d), KRVU-LD, KUCO-LP, KKTF-LD | ABC, FOX, MNT 
Medford, OR | 135 | 4 | KTVL | CBS, CW Plus 
Columbia / Jefferson City, MO | 136 | 4 | KRCG | CBS 
Beaumont / Port Arthur / Orange, TX | 140 | 7 | KFDM, KBTV(d) | CBS, FOX, CW Plus 
Sioux City, IA | 149 | 15 | KMEG(d), KPTH, KBVK-LP, KPTP-LD | CBS, FOX, MNT 
Albany, GA | 152 | 4 | WFXL | FOX 
Gainesville, FL | 157 | 8 | WGFL(c),WNBW(d), WYME-CD(c) | CBS, NBC, MNT 
Wheeling, WV / Steubenville, OH | 162 | 3 | WTOV | NBC, FOX 
Missoula, MT | 164 | 6 | KECI, KCFW | NBC 
Abilene / Sweetwater, TX | 165 | 4 | KTXS, KTES-LD | ABC, CW Plus 
Quincy, IL / Hannibal, MO / Keokuk, IA | 174 | 3 | KHQA | ABC, CBS 
Butte / Bozeman, MT | 185 | 3 | KTVM | NBC 
Eureka, CA | 195 | 10 | KAEF, KBVU(d), KECA-LD, KEUV-LP | ABC, FOX, CW, MNT 
San Angelo, TX | 196 | 3 | KTXE-LD | ABC, CW 
Ottumwa, IA / Kirksville, MO | 200 | 3 | KTVO | ABC, CBS 
Total Television Channels | | 605 | | 


(a) | Rankings are based on the relative size of a station’s Designated Market Area (DMA) among the 210 generally recognized DMAs in the United States as estimated by Nielsen Media Research (Nielsen) as of September 2018.


(b) | We broadcast programming from the following providers on our channels:

9


Affiliation | Number ofChannels | Number ofMarkets | Expiration Dates (1) 
ABC | 41 | 30 | August 31, 2022 
CBS | 30 | 25 | April 30, 2020 through December 31, 2021 
CW | 47 | 36 | August 31, 2019 through August 31, 2021 
FOX | 59 | 43 | December 31, 2019 through December 31, 2020
MNT | 39 | 32 | August 31, 2019 
NBC | 24 | 17 | December 31, 2021 
Total Major Network Affiliates | 240 | | 


Affiliation | Number ofChannels | Number ofMarkets | Expiration Dates (1) 
Antenna TV | 22 | 20 | January 1, 2019 through January 1, 2021 
Azteca | 3 | 2 | February 28, 2018 through August 31, 2020 
Bounce Network | 1 | 1 | August 31, 2019 
CHARGE! | 65 | 57 | (2) 
Comet | 90 | 75 | (2) 
Estrella TV | 1 | 1 | September 30, 2017 
Get TV | 5 | 5 | June 30, 2017 
Grit | 1 | | December 31, 2019 
Independent programming | | 2 | N/A 
Me TV | 18 | 15 | February 28, 2018 through August 31, 2021 
Movies! | 7 | 6 | November 1, 2019 through November 18, 2019
Stadium | 53 | 48 | December 31, 2022 
TBD | 75 | 65 | (2) 
Telemundo | 1 | 1 | December 31, 2019 
This TV | 5 | 4 | November 1, 2014 through December 31, 2015
Unimas | 1 | 1 | December 31, 2019 
Univision | 9 | | December 31, 2019 
Weather | | 4 | December 31, 2017 
Total Other Affiliates | 365 | | 
Total Television Channels | 605 | | 


(1) | When we negotiate the terms of our network affiliations or program service arrangements, we generally negotiate on behalf of all of our stations affiliated with that entity simultaneously. This results in substantially similar terms for our stations, including the expiration date of the network affiliations or program service arrangements. If the affiliation agreement expires, we may continue to operate under the existing affiliation agreement on a temporary basis while we negotiate a new affiliation agreement.


(2) | An owned and operated network, which is carried on our multi-cast distribution platform.


(c) | The license assets for these stations are currently owned by third parties. We provide programming, sales, operational, and administrative services to these stations pursuant to certain service agreements, such as LMAs.


(d) | The license and programming assets for these stations are currently owned by third parties. We provide certain non-programming related sales, operational, and administrative services to these stations pursuant to service agreements, such as joint sales and shared services agreements.


(e) | We provide programming, sales, operational, and administrative services to this station, of which 50% is owned by a third party.

Operating Strategy
Programming to Attract Viewership.  We seek to target our programming offerings to attract viewership, to meet the needs of the communities in which we serve, and to meet the needs of our advertising customers.  In pursuit of this strategy, we seek to develop original programming or obtain, at attractive prices, popular syndicated programming that is complementary to each station’s network programming. We also seek to broadcast live local and national sporting events that would appeal to a large segment of the local community.  Moreover, we produce local news at 126 stations in 85 markets.  See News below for further discussion.
Television advertising prices are based on ratings information measured and distributed by Nielsen and Comscore. Except for its Local People Meter service and Household viewing in Set Meter Markets, Nielsen is currently not accredited by the Media Rating Council, an independent organization that monitors rating services. As of December 31, 2018, Sinclair’s footprint includes 12 markets measured by Code Reader methodology and 48 markets measured by RPD+ methodology, which uses Set Top Box data. Neither of these methodologies are currently accredited by the Media Rating Council. Comscore is an alternative rating service provider that uses set-top box television measurements to provide us additional measurement information to the ratings services that Nielsen provides for most of our stations.

News.  Local news is at the heart of the Company. Our mission is to serve our communities by sharing relevant information to alert, protect, and empower our audiences. We believe that the production and broadcasting of local news is an important link to the community and an aid to a station’s efforts to expand its viewership. In addition, local news programming can provide access to advertising sources targeted specifically to local news viewers. Our news stations also produce content on digital platforms such as websites, mobile applications, OTT, and social media.
During 2018, we expanded news in 6 markets. During the year ended December 31, 2018, 34% of our net time sales were earned during the local news we produce each week.
Our local news initiatives are an important part of our strategy. We have entered into local news sharing arrangements in which we receive news in 12 markets from other in-market broadcasters. We believe that, in the markets where we have news share arrangements, such arrangements generally provide both higher viewer ratings and revenues for the station receiving the news and generate a profit for the news share provider. Generally, both parties and the local community are beneficiaries of these arrangements.
In addition to our traditional local news stories, we have utilized our national reach and placement in the nation's capital to provide our local viewers with broader national news stories which are relevant to our local viewers.
Our local news coverage is supported by our national news desk and Capitol Hill bureau. These teams produce daily unique stories unavailable from other sources. This content provides a significant point of difference with a focus on accountability reporting for our stations. Available on-air and online, the bureau not only expands our news presence, but gives our local station viewers an opportunity to hear the views of their members of Congress through programs such as "Connect to Congress," our weekly on-air and digital feature which provides an electronic video pathway for lawmakers to speak to their constituents. Our weekly investigative news program, Full Measure with Sharyl Attkisson, reinforces our mission to provide our fearless storytelling on significant topics of public importance. 
In January 2019, we announced a new, daily commentary segment, "Cross Point with Ameshia Cross". As programming like "Connect to Congress" continues to garner high engagement and strong reception among viewers, the addition will expand the repertoire of contributors and provide another perspective to the issues discussed in Boris Epshteyn's 'Bottom Line with Boris.
During 2017, we created a national investigative news unit consisting of more than 50 reporters, which we plan to grow, to provide in-depth stories not covered elsewhere.
We also provide our viewers with "Town Halls," which brings together our viewers to discuss major local and national topics. During 2018 we produced "Town Halls" covering political debates and discussions about a wide range of topics including the Me Too movement, bullying and teen suicide, hurricanes, school safety, and opioids. During 2019, we expect to produce over 120 hours of such coverage.
In 2017, we acquired NewsOn, a single app to watch live, local news on mobile and OTT devices.
Popular Sporting Events.  At some of our stations, we have been able to acquire local television broadcast rights for certain sporting events, including NBA basketball, MLB baseball, NFL football, NHL hockey, ACC basketball, both Big Ten and SEC football and basketball, and certain other college and high school sports. Our CW and MyNetworkTV stations generally face fewer preemption restrictions on broadcasting live local sporting events compared with our FOX, ABC, CBS, and NBC stations, which are required to broadcast a greater number of hours of programming supplied by the networks. In addition, our stations that are affiliated with FOX, ABC, CBS, and NBC have network arrangements to broadcast certain NBA basketball games, MLB baseball games, NFL football games, NHL hockey games, and PGA golf events, as well as other popular sporting events. Tennis has telecast rights to the U.S. Open; Wimbledon; Roland Garros (French Open); Australian Open; ATP World Tour Masters 1000, 500, and 250 events; WTA Premier, International, and Finals; Laver Cup; Hopman Cup; ATP and WTA Pro Circuit; and College and Junior events and exhibitions. Our stations also broadcast programming and other content provided by Tennis and we provide access to certain events through our premium OTT offering, Tennis Channel Plus. See Development of Original Networks and Content below for a discussion related to the operating strategy of Tennis. In February 2019, we announced a joint venture with the Chicago Cubs (Cubs) that will own and operate Marquee Sports Network, a regional sports network based in Chicago, Illinois. Marquee will be the Chicago-region’s exclusive network for fans to view live Cubs games beginning with the 2020 Major League Baseball season and will also feature exclusive Cubs content and other local sports programming. 
Control of Operating and Programming Costs.  By employing a disciplined approach to managing programming acquisition and other costs, we have been able to achieve operating margins that we believe are very competitive within the television broadcast industry. We believe our national reach as of December 31, 2018 of approximately 39% of the country provides us with a strong position to negotiate with programming providers and, as a result, the opportunity to purchase high quality programming at more favorable prices. Moreover, we emphasize control of each of our station’s programming and operating costs through program-specific profit analysis, detailed budgeting, regionalization of staff, and detailed long-term planning models. We also control our programming cost by creating original high-quality programming that is distributed on our broadcast platform. This original programming includes our CHARGE!, TBD, Comet, and Stadium networks; ROH; and Full Measure.
Developing Local Franchises.  We believe the greatest opportunity for a sustainable and growing customer base lies within our local communities. Therefore, we have focused on developing a strong local sales force at each of our television stations, which is comprised of approximately 700 marketing consultants and 100 local sales managers company-wide. Excluding political advertising revenue, distribution revenues, and other local revenues, 54.2% and 69.9% of our same station net time sales were local for the years ended December 31, 2018 and 2017, respectively. Our goal is to grow our local revenues by increasing our market share, developing new business opportunities, and offering marketing solutions across our platforms. 
